Specific_Cell_Ontology_ID	Cell_Marker
CL:0000625	CD8B
CL:0000625	LIME1
CL:0000625	AES
CL:0000625	CD3G
CL:0000625	KLHL28
CL:0000625	CD8A
CL:0000625	CD8A
CL:0000625	GZMA
CL:0000625	FLT3LG
CL:0000625	VAMP2
CL:0000625	CD8A
CL:0000625	CD3D
CL:0000625	CD8A
CL:0000625	CD3D
CL:0000625	CXCL13
CL:0000625	CD8B
CL:0000625	PTPRC
CL:0000625	CD8A
CL:0000625	FLT3LG
CL:0000625	ZFP36L2
CL:0000625	CD8A
CL:0000625	CD8B
CL:0000625	CD8B
CL:0000625	PTPRC
CL:0000625	SIRPG
CL:0000625	CD8A
CL:0000625	ZNF22
CL:0000625	TBCC
CL:0000625	GZMH
CL:0000625	CD8A
CL:0000625	CD8A
CL:0000625	CD3D
CL:0000625	CD8A
CL:0000625	THEMIS
CL:0000625	CD8A
CL:0000625	CD8A
CL:0000625	CD8A
CL:0000625	Cd3g
CL:0000625	CD8A
CL:0000625	CD8B
CL:0000625	RNF19A
CL:0000625	ZNF91
CL:0000625	IL-7R
CL:0000625	CD3D
CL:0000625	ASXL2
CL:0000625	SF1
CL:0000625	CD3G
CL:0000625	TNFRSF8
CL:0000625	ITGAE
CL:0000625	CD3D
CL:0000625	CD8A
CL:0000625	CD8A
CL:0000625	GZMB
CL:0000625	CD8B2
CL:0000625	APBA2
CL:0000625	CD8A
CL:0000625	APBA2
CL:0000625	LAG3
CL:0000625	SRSF7
CL:0000625	CD8A
CL:0000625	TBCC
CL:0000625	CD8A
CL:0000625	CD8A
CL:0000625	CD3D
CL:0000625	CD8B
CL:0000625	CD8A
CL:0000625	DNAJB1
CL:0000625	CDKN2AIP
CL:0000625	TNFRSF9
CL:0000625	CD3D
CL:0000625	CD8A
CL:0000625	THUMPD1
CL:0000625	TIGIT
CL:0000625	CD3G
CL:0000625	ADORA2A
CL:0000625	CD3E
CL:0000625	CD3E
CL:0000625	PCED1B
CL:0000625	CD8A
CL:0000625	CD3D
CL:0000625	SNAP47
CL:0000625	KLF9
CL:0000625	ABT1
CL:0000625	CD3D
CL:0000625	TNIP3
CL:0000625	Cd8a
CL:0000625	CD8A
CL:0000625	CD8A
CL:0000625	CD8A
CL:0000625	CD8A
CL:0000625	CAMLG
CL:0000625	CDKN2AIP
CL:0000625	CD3D
CL:0000625	CD28
CL:0000625	CD3E
CL:0000625	GZMK
CL:0000625	CD3E
CL:0000625	CD3D
CL:0000625	EVER1
CL:0000625	ARHGAP8
CL:0000625	NELL2
CL:0000625	RBM3
CL:0000625	SRSF7
CL:0000625	RBM3
CL:0000625	TTN
CL:0000625	CD8A
CL:0000625	ABT1
CL:0000625	MCOLN2
CL:0000625	PF4
CL:0000625	LEPROTL1
CL:0000625	CD8A
